shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
14,40.912142,-73.851129,10,
14,40.926990,-73.839480,11,
14,40.939780,-73.835208,12,
14,40.949393,-73.830166,13,
14,40.958997,-73.820564,14,
14,40.989168,-73.808634,15,
14,41.010333,-73.796407,16,
14,41.032589,-73.775208,17,
14,41.049806,-73.773142,18,
14,41.072819,-73.772599,19,
14,41.095877,-73.793822,20,
14,41.108581,-73.796250,21,
14,41.135222,-73.792661,22,
14,41.158015,-73.774885,23,
14,41.208242,-73.729778,24,
14,41.237316,-73.699936,25,
14,41.259552,-73.684155,26,
14,41.294338,-73.677655,27,
14,41.325775,-73.659061,28,
14,41.347722,-73.662269,29,
14,41.394470,-73.619802,30,
14,41.413203,-73.623787,31,
14,41.511827,-73.604584,32,
14,41.564205,-73.600524,33,
14,41.610810,-73.578710,34,
14,41.637525,-73.571450,35,
14,41.740401,-73.576502,36,
14,41.779938,-73.558204,37,
14,41.821579,-73.563583,38,
15,40.8253,-73.9299,1,
15,40.825761,-73.915231,2,
15,40.847301,-73.899550,3,
15,40.8615,-73.890580,4,
15,40.866555,-73.883109,5,
15,40.878569,-73.871064,6,
15,40.895361,-73.862916,7,
15,40.905424,-73.854665,8,
15,40.912142,-73.851129,9,
15,40.926990,-73.839480,10,
15,40.939780,-73.835208,11,
15,40.949393,-73.830166,12,
15,40.958997,-73.820564,13,
15,40.989168,-73.808634,14,
15,41.010333,-73.796407,15,
15,41.032589,-73.775208,16,
15,41.049806,-73.773142,17,
15,41.072819,-73.772599,18,
15,41.095877,-73.793822,19,
15,41.108581,-73.796250,20,
15,41.135222,-73.792661,21,
15,41.158015,-73.774885,22,
15,41.208242,-73.729778,23,
15,41.237316,-73.699936,24,
15,41.259552,-73.684155,25,
15,41.294338,-73.677655,26,
15,41.325775,-73.659061,27,
15,41.347722,-73.662269,28,
15,41.394470,-73.619802,29,
15,41.413203,-73.623787,30,
15,41.511827,-73.604584,31,
15,41.564205,-73.600524,32,
15,41.610810,-73.578710,33,
15,41.637525,-73.571450,34,
15,41.740401,-73.576502,35,
15,41.779938,-73.558204,36,
15,41.821579,-73.563583,37,
16,40.752998,-73.977056,1,
16,40.805157,-73.939149,2,
16,40.8615,-73.890580,3,
16,40.912161,-73.832185,4,
16,40.910321,-73.810242,5,
16,40.911605,-73.783807,6,
16,40.933394,-73.759792,7,
16,40.954061,-73.736125,8,
16,40.969432,-73.712964,9,
16,40.986027,-73.680461,10,
16,41.000732,-73.6647,11,
16,41.021277,-73.624621,12,
16,41.030171,-73.598306,13,
16,41.031682,-73.588173,14,
16,41.033817,-73.565859,15,
16,41.046611,-73.542846,16,
16,41.069041,-73.497880,17,
16,41.076913,-73.472966,18,
16,41.077456,-73.445527,19,
16,41.096730,-73.421132,20,
16,41.103996,-73.404588,21,
16,41.118928,-73.371413,22,
16,41.122265,-73.315408,23,
16,41.134844,-73.288970,24,
16,41.143077,-73.257742,25,
16,41.1610,-73.234336,26,
16,41.178677,-73.187076,27,
16,41.194255,-73.131532,28,
16,41.223231,-73.057647,29,
16,41.296501,-72.928290,30,
16,41.304979,-72.921747,31,
17,40.8253,-73.9299,1,
17,40.8615,-73.890580,2,
17,40.912161,-73.832185,3,
17,40.910321,-73.810242,4,
17,40.911605,-73.783807,5,
17,40.933394,-73.759792,6,
17,40.954061,-73.736125,7,
17,40.969432,-73.712964,8,
17,40.986027,-73.680461,9,
17,41.000732,-73.6647,10,
17,41.021277,-73.624621,11,
17,41.030171,-73.598306,12,
17,41.031682,-73.588173,13,
17,41.033817,-73.565859,14,
17,41.046611,-73.542846,15,
17,41.069041,-73.497880,16,
17,41.076913,-73.472966,17,
17,41.077456,-73.445527,18,
17,41.096730,-73.421132,19,
17,41.103996,-73.404588,20,
17,41.118928,-73.371413,21,
17,41.122265,-73.315408,22,
17,41.134844,-73.288970,23,
17,41.143077,-73.257742,24,
17,41.178677,-73.187076,25,
17,41.194255,-73.131532,26,
17,41.223231,-73.057647,27,
17,41.296501,-72.928290,28,
17,41.304979,-72.921747,29,
18,40.911605,-73.783807,1,
18,40.933394,-73.759792,2,
18,40.954061,-73.736125,3,
18,40.969432,-73.712964,4,
18,40.986027,-73.680461,5,
18,41.000732,-73.6647,6,
18,41.021277,-73.624621,7,
18,41.030171,-73.598306,8,
18,41.031682,-73.588173,9,
18,41.033817,-73.565859,10,
18,41.046611,-73.542846,11,
18,41.069041,-73.497880,12,
18,41.076913,-73.472966,13,
18,41.077456,-73.445527,14,
18,41.096730,-73.421132,15,
18,41.103996,-73.404588,16,
18,41.118928,-73.371413,17,
18,41.122265,-73.315408,18,
18,41.134844,-73.288970,19,
18,41.143077,-73.257742,20,
18,41.178677,-73.187076,21,
18,41.194255,-73.131532,22,
18,41.223231,-73.057647,23,
18,41.296501,-72.928290,24,
18,41.304979,-72.921747,25,
19,40.752998,-73.977056,1,
19,40.805157,-73.939149,2,
19,40.8615,-73.890580,3,
19,40.912161,-73.832185,4,
19,40.910321,-73.810242,5,
19,40.911605,-73.783807,6,
19,40.933394,-73.759792,7,
19,40.954061,-73.736125,8,
19,40.969432,-73.712964,9,
19,40.986027,-73.680461,10,
19,41.000732,-73.6647,11,
19,41.021277,-73.624621,12,
19,41.030171,-73.598306,13,
19,41.031682,-73.588173,14,
19,41.033817,-73.565859,15,
19,41.046611,-73.542846,16,
19,41.070547,-73.520021,17,
19,41.088760,-73.517828,18,
19,41.116012,-73.498149,19,
19,41.146305,-73.495626,20,
20,40.8253,-73.9299,1,
20,40.8615,-73.890580,2,
20,40.912161,-73.832185,3,
20,40.910321,-73.810242,4,
20,40.911605,-73.783807,5,
20,40.933394,-73.759792,6,
20,40.954061,-73.736125,7,
20,40.969432,-73.712964,8,
20,40.986027,-73.680461,9,
20,41.000732,-73.6647,10,
20,41.021277,-73.624621,11,
20,41.030171,-73.598306,12,
20,41.031682,-73.588173,13,
20,41.033817,-73.565859,14,
20,41.046611,-73.542846,15,
20,41.070547,-73.520021,16,
20,41.088760,-73.517828,17,
20,41.116012,-73.498149,18,
20,41.146305,-73.495626,19,
21,40.752998,-73.977056,1,
21,40.805157,-73.939149,2,
21,40.8615,-73.890580,3,
21,40.912161,-73.832185,4,
21,40.910321,-73.810242,5,
21,40.911605,-73.783807,6,
21,40.933394,-73.759792,7,
21,40.954061,-73.736125,8,
21,40.969432,-73.712964,9,
21,40.986027,-73.680461,10,
21,41.000732,-73.6647,11,
21,41.021277,-73.624621,12,
21,41.030171,-73.598306,13,
21,41.031682,-73.588173,14,
21,41.033817,-73.565859,15,
21,41.046611,-73.542846,16,
21,41.069041,-73.497880,17,
21,41.076913,-73.472966,18,
21,41.077456,-73.445527,19,
21,41.096730,-73.421132,20,
21,41.143382,-73.427917,21,
21,41.196202,-73.432434,22,
21,41.216620,-73.426703,23,
21,41.267630,-73.441421,24,
