stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id
37003,30842,"DANFORTH AVENUE HBLR STATION",,40.692357,-74.087262,336
37004,30843,"E 45TH STREET HBLR STATION",,40.678670,-74.101673,336
37005,30844,"E 34TH STREET HBLR STATION",,40.671778,-74.107493,336
37169,95082,"MATAWAN",,40.420161,-74.223702,3917
37376,30832,"HARBORSIDE HBLR STATION",,40.719527,-74.034003,336
37377,30831,"HARSIMUS COVE HBLR STATION",,40.722668,-74.037281,336
37378,30830,"NEWPORT HBLR STATION",,40.726819,-74.036233,336
37953,95164,"NEWARK AIRPORT RAILROAD STATION",,40.704415,-74.190717,1345
38064,30540,"SILVER LAKE LIGHT RAIL STOP",,40.780287,-74.180343,336
38065,30539,"GROVE STREET LIGHT RAIL STATION",,40.780317,-74.187931,336
38081,95165,"MSU",,40.869782,-74.197439,1613
38105,95166,"UNION",,40.683663,-74.238605,1357
38174,95167,"FRANK R LAUTENBERG SECAUCUS LOWER LEVEL",,40.761188,-74.075821,333
38187,95168,"FRANK R LAUTENBERG SECAUCUS UPPER LEVEL",,40.761188,-74.075821,329
38229,30845,"22ND ST HBLR STATION",,40.661277,-74.116410,336
38291,30855,"TRENTON TRANSIT CENTER",,40.218348,-74.755194,336
38292,30856,"HAMILTON AVENUE",,40.211928,-74.755882,336
38293,30857,"CASS STREET",,40.205409,-74.754313,336
38294,30858,"BORDENTOWN",,40.148110,-74.716271,336
38295,30859,"ROEBLING",,40.116909,-74.770202,336
38296,30860,"FLORENCE",,40.100048,-74.805112,336
38297,30861,"BURLINGTON TOWNE CTR",,40.077358,-74.859421,336
38298,30862,"BURLINGTON SOUTH",,40.074558,-74.868981,336
38299,30863,"BEVERLY/EDGEWATER PARK",,40.061120,-74.915131,336
38300,30864,"DELANCO",,40.048068,-74.950280,336
38301,30865,"RIVERSIDE",,40.039219,-74.958842,336
38302,30866,"CINNAMINSON",,40.016557,-74.999942,336
38303,30867,"RIVERTON",,40.008939,-75.013082,336
38304,30868,"PALMYRA",,40.004659,-75.020391,336
38305,30869,"ROUTE 73/PENNSAUKEN",,39.993109,-75.039610,336
38306,30870,"36TH STREET STATION",,39.960960,-75.079622,336
38307,30871,"WALTER RAND TRANS CTR",,39.943258,-75.120210,336
38308,30872,"COOPER ST/RUTGERS UNIV",,39.947598,-75.124070,336
38309,30873,"AQUARIUM",,39.945658,-75.128682,336
38310,30874,"ENTERTAINMENT CENTER",,39.940940,-75.128473,336
38417,95170,"RAMSEY ROUTE 17 STATION",,41.075130,-74.145485,3149
38441,30828,"2ND STREET HBLR",,40.740789,-74.043101,336
38442,30827,"9TH STREET HBLR",,40.748867,-74.038522,336
38578,30824,"BERGENLINE AVE",,40.781638,-74.021801,336
38579,30823,"TONNELLE AVE HBLR STATION",,40.787330,-74.031263,336
39130,30775,"BROAD STREET LIGHT RAIL STATION",,40.747209,-74.171510,336
39131,30774,"RIVERFRONT STADIUM LIGHT RAIL STOP",,40.745590,-74.169202,336
39132,30776,"WASHINGTON PARK LIGHT RAIL STOP",,40.743938,-74.169853,336
39133,30773,"ATLANTIC STREET LIGHT RAIL STOP",,40.744160,-74.168491,336
39134,30772,"NJ PERFORMING ARTS CENTER AT CENTRE ST",,40.739498,-74.165580,336
39348,30829,"HOBOKEN HBLR TERMINAL",,40.734059,-74.029192,336
39472,95171,"MOUNT ARLINGTON",,40.896590,-74.632731,4941
39635,95172,"WAYNE/ROUTE 23 TRANSIT CENTER [RR]",,40.900254,-74.256971,2381
40570,95174,"MEADOWLANDS SPORTS COMPLEX STATION",,40.813053,-74.072114,845
42545,31061,"PENN STATION LIGHT RAIL",,40.734810,-74.163603,0
42673,31145,"8TH ST HBLR STATION",,40.654298,-74.129142,0
43288,31898,"PENNSAUKEN TRANSIT CENTER",,39.978276,-75.061962,336
43298,95183,"PENNSAUKEN TRANSIT CENTER",,39.977769,-75.061796,5197
