"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","shape_id"
"5","GO601_1422","GO601_148761","Babylon","8761","1","163"
"5","GO601_1422","GO601_148762","Patchogue","8762","0","164"
"5","GO601_1422","GO601_148763","Jamaica","8763","1","165"
"5","GO601_1473","GO601_148764","Patchogue","8764","0","164"
"5","GO601_1473","GO601_148765","Babylon","8765","1","163"
"5","GO601_1422","GO601_148766","Patchogue","8766","0","164"
"5","GO601_1422","GO601_148767","Babylon","8767","1","163"
"5","GO601_1473","GO601_148768","Patchogue","8768","0","164"
"5","GO601_1473","GO601_148769","Jamaica","8769","1","165"
"5","GO601_1473","GO601_148770","Patchogue","8770","0","164"
"5","GO601_1473","GO601_148771","Babylon","8771","1","166"
"5","GO601_1473","GO601_148772","Patchogue","8772","0","164"
"5","GO601_1473","GO601_148773","Babylon","8773","1","166"
"5","GO601_1473","GO601_148774","Patchogue","8774","0","167"
"5","GO601_1473","GO601_148775","Babylon","8775","1","166"
"5","GO601_1422","GO601_148776","Patchogue","8776","0","164"
"5","GO601_1473","GO601_148777","Jamaica","8777","1","165"
"5","GO601_1473","GO601_148778","Patchogue","8778","0","164"
"5","GO601_1434","GO601_148790","Speonk","8790","0","123"
"7","GO601_1473","GO601_148800","Far Rockaway","8800","0","140"
"7","GO601_1473","GO601_148801","Atlantic Terminal","8801","1","141"
"7","GO601_1473","GO601_148802","Far Rockaway","8802","0","168"
"7","GO601_1473","GO601_148803","Valley Stream","8803","1","169"
"7","GO601_1473","GO601_148804","Far Rockaway","8804","0","168"
"7","GO601_1473","GO601_148805","Atlantic Terminal","8805","1","141"
"7","GO601_1473","GO601_148806","Far Rockaway","8806","0","143"
"7","GO601_1473","GO601_148807","Penn Station","8807","1","144"
"7","GO601_1473","GO601_148808","Far Rockaway","8808","0","140"
"7","GO601_1473","GO601_148809","Atlantic Terminal","8809","1","141"
"7","GO601_1473","GO601_148810","Far Rockaway","8810","0","140"
"7","GO601_1473","GO601_148811","Atlantic Terminal","8811","1","141"
"7","GO601_1473","GO601_148812","Far Rockaway","8812","0","140"
"7","GO601_1473","GO601_148813","Atlantic Terminal","8813","1","141"
"7","GO601_1473","GO601_148814","Far Rockaway","8814","0","140"
"7","GO601_1473","GO601_148815","Atlantic Terminal","8815","1","141"
"7","GO601_1473","GO601_148816","Far Rockaway","8816","0","140"
"7","GO601_1473","GO601_148817","Atlantic Terminal","8817","1","141"
"7","GO601_1473","GO601_148818","Far Rockaway","8818","0","140"
"7","GO601_1473","GO601_148819","Atlantic Terminal","8819","1","141"
"7","GO601_1473","GO601_148850","Far Rockaway","8850","0","140"
"7","GO601_1473","GO601_148851","Atlantic Terminal","8851","1","141"
"7","GO601_1473","GO601_148852","Far Rockaway","8852","0","140"
"7","GO601_1473","GO601_148853","Atlantic Terminal","8853","1","141"
"7","GO601_1473","GO601_148854","Far Rockaway","8854","0","140"
"7","GO601_1473","GO601_148855","Atlantic Terminal","8855","1","141"
"7","GO601_1473","GO601_148856","Far Rockaway","8856","0","140"
"7","GO601_1473","GO601_148857","Atlantic Terminal","8857","1","141"
